content_id,genre_id
236,35
236,9648
237,18
238,10749
238,18
238,35
239,27
239,9648
240,18
240,53
241,10749
241,35
242,18
243,27
243,9648
244,53
244,9648
244,27
245,18
245,35
245,10749
246,18
246,10749
247,18
247,28
247,80
248,35
249,9648
249,53
250,80
250,28
250,18
251,35
251,28
251,18
252,35
252,10749
253,18
253,36
254,18
255,10749
255,18
256,27
256,53
257,18
257,36
258,28
258,27
258,53
259,16
259,12
260,28
260,53
260,18
261,28
261,53
261,80
262,99
262,10402
263,18
264,28
264,53
265,53
265,9648
265,80
265,10749
266,16
266,18
266,9648
266,12
267,14
267,28
267,35
267,53
269,28
269,18
270,9648
270,53
270,80
270,18
271,28
271,27
271,18
271,14
272,99
273,18
273,36
273,28
274,28
274,35
275,28
275,53
275,80
276,35
276,12
276,80
277,9648
277,53
277,27
278,53
278,9648
279,18
279,10749
280,35
281,27
281,53
281,9648
282,18
282,28
282,35
283,36
283,28
283,10752
284,80
284,18
285,35
285,28
285,14
286,80
286,28
287,80
287,53
288,35
288,18
288,14
289,53
289,18
290,35
291,18
291,53
292,53
292,80
292,9648
293,80
293,28
293,53
293,9648
294,35
294,27
294,18
295,53
295,80
295,18
295,9648
296,80
296,18
297,35
297,18
297,10749
297,10751
298,28
298,80
298,18
299,9648
299,53
300,10749
300,18
301,18
302,10749
302,35
302,10402
303,10749
303,35
304,18
305,36
305,18
306,18
306,35
307,10749
307,18
308,80
308,28
309,53
309,80
309,9648
310,18
311,53
311,9648
312,53
312,18
313,28
313,53
313,10752
314,10752
314,36
315,35
315,10749
316,10402
316,18
316,10749
317,80
317,35
317,28
318,14
318,28
318,35
319,18
319,10752
320,18
320,36
320,53
321,18
321,10749
322,53
322,18
323,14
323,18
324,10749
324,18
325,28
325,53
326,10749
327,53
327,9648
327,36
328,80
328,28
329,18
330,99
331,35
331,10749
332,18
332,36
333,18
334,28
334,18
334,10749
335,18
335,10749
336,27
337,28
337,53
338,53
338,18
338,80
338,9648
339,53
339,35
340,18
340,35
341,28
341,18
341,80
342,10749
342,18
342,28
343,10749
343,18
344,10749
344,35
345,10749
345,18
346,28
346,53
346,18
347,18
347,10749
348,27
348,35
348,14
348,10749
349,80
349,28
349,53
350,10749
350,35
351,80
351,18
351,53
352,18
352,9648
352,53
352,80
353,28
353,80
353,53
354,80
354,53
355,10749
355,18
356,35
356,18
356,10752
357,10749
357,35
358,53
358,28
358,9648
359,18
359,53
360,18
360,53
361,16
361,10751
361,12
361,14
362,80
362,18
363,28
363,35
364,35
365,28
365,80
366,53
366,80
367,18
367,35
368,18
369,35
369,80
370,80
370,18
371,53
371,878
371,28
372,35
372,10749
373,80
373,53
374,28
374,18
375,53
375,28
375,18
376,18
377,18
378,18
378,10749
379,14
379,18
379,35
380,36
380,18
381,18
381,35
382,28
383,27
383,9648
384,18
384,14
385,80
385,28
385,53
386,16
386,10751
386,12
386,14
387,878
387,53
388,18
388,53
388,80
389,28
389,80
390,18
391,35
391,18
392,18
392,35
393,18
393,10749
394,28
394,35
394,10749
395,27
395,14
396,18
397,18
397,35
398,80
399,35
399,10749
399,36
400,53
400,9648
400,80
401,18
401,80
402,35
402,10749
403,28
403,53
403,80
404,18
404,10749
405,18
405,35
406,35
406,18
407,53
407,80
408,18
408,36
409,18
409,35
410,18
410,10402
411,18
412,18
413,80
414,28
415,18
416,28
416,53
417,9648
417,18
418,10749
418,35
419,16
419,10751
419,10402
419,878
420,28
420,12
420,35
420,80
421,18
421,80
422,18
422,53
423,18
423,35
424,35
425,27
425,9648
426,53
427,53
427,9648
427,27
428,28
428,80
428,18
429,18
429,10751
430,35
430,10751
430,16
431,35
431,18
432,10749
432,18
432,36
433,28
433,9648
433,35
434,27
435,18
435,36
436,53
437,10749
437,18
438,18
439,35
439,10749
440,36
440,18
441,35
441,10749
442,18
442,10749
443,18
443,10749
444,35
444,10749
444,36
445,28
445,18
446,18
446,10749
447,18
448,80
448,18
449,18
449,36
450,27
451,27
451,9648
452,18
452,53
453,18
453,28
453,36
453,10749
454,18
454,10752
455,18
455,80
456,18
457,16
458,18
459,12
459,18
460,35
460,10749
461,53
461,9648
462,80
462,18
462,53
463,10749
463,18
463,35
464,18
464,36
465,27
466,16
466,12
466,14
466,10751
467,9648
467,53
468,35
468,18
469,28
469,18
469,10749
470,53
470,18
471,80
471,18
472,53
472,9648
473,28
473,80
473,18
474,28
474,53
475,36
475,18
475,35
476,10749
476,35
476,18
476,10751
477,18
477,10749
478,28
478,35
479,18
479,35
480,18
480,35
480,36
481,18
481,10749
482,99
483,18
483,35
484,35
484,10749
485,18
485,9648
486,18
486,10749
487,878
487,28
487,35
488,35
488,28
488,14
489,35
489,80
489,53
490,35
490,18
491,18
491,9648
491,53
492,35
493,18
494,53
494,9648
495,28
495,36
496,53
496,28
496,18
497,10749
497,18
497,36
497,10402
498,10749
498,35
499,28
499,18
499,36
500,18
501,16
501,10751
501,14
501,12
502,18
502,36
503,9648
503,28
503,36
503,35
503,80
504,18
505,53
505,80
505,14
506,18
507,12
507,28
507,35
508,35
509,28
509,18
510,27
510,14
510,9648
511,80
511,53
511,18
512,10749
512,35
513,35
514,18
514,53
514,80
514,9648
515,10749
516,18
517,36
517,35
518,18
518,10402
519,18
519,35
520,18
520,80
521,27
521,35
522,36
522,18
523,10749
523,35
524,27
524,9648
525,18
