title,content_type,genre_ids,release_date,vote_average,vote_count,popularity,tmdb_id
사마귀,영화,"[28, 80, 53]",2025-09-25,6.4,186,7.6044,1267319
와일드 씽,영화,"[35, 10402]",2026-06-03,6.4,22,7.3346,1396749
남편들,영화,"[35, 28]",2026-06-15,7.374,120,7.6867,1451344
발레리나,영화,"[28, 53]",2023-10-06,7.001,729,7.1957,961268
쌍화점,영화,[18],2008-12-30,6.872,164,7.2725,17903
택시운전사,영화,"[28, 18, 36]",2017-08-02,8,1206,6.9757,437068
기억의 밤,영화,"[53, 9648, 80]",2017-11-29,7.884,1381,7.6898,488623
추격자,영화,"[80, 53, 28]",2008-02-14,7.78,1604,7.0099,13855
신과함께-인과 연,영화,"[28, 12, 14, 53]",2018-08-01,8.05,770,6.9907,518068
거룩한 밤: 데몬 헌터스,영화,"[28, 14, 27, 53]",2025-04-30,7,114,7.5387,793387
외계+인 1부,영화,"[878, 28, 14, 12]",2022-07-20,6.92,591,6.457,601796
친절한 금자씨,영화,"[18, 53]",2005-07-29,7.52,2003,6.9515,4550
아저씨,영화,"[28, 53, 80]",2010-08-04,7.696,1542,8.52,51608
마더,영화,"[80, 18, 9648]",2009-05-28,7.704,1728,6.6923,30018
"그 시절, 우리가 좋아했던 소녀",영화,"[10749, 18, 35]",2025-02-21,8.375,72,7.6013,1290182
복수는 나의 것,영화,"[28, 18, 53]",2002-03-29,7.468,1759,6.5545,4689
황제를 위하여,영화,"[28, 80, 53]",2014-06-11,5.7,59,6.5383,280019
비열한 거리,영화,"[80, 18, 28]",2006-10-17,7,230,4.8591,23538
백두산,영화,"[28, 12, 53]",2019-12-19,6.849,637,6.1373,581387
승리호,영화,"[18, 14, 878]",2021-02-05,7.026,1171,6.6912,581389
파반느,영화,"[10749, 18]",2026-02-19,7.295,61,6.6107,1268609
군함도,영화,"[18, 10752]",2017-07-26,7.162,297,5.993,436391
서울의 봄,영화,"[18, 53, 28, 10752, 36, 80]",2023-11-22,7.6,148,6.3224,919207
괴기열차,영화,"[27, 9648]",2025-07-09,7.339,140,5.9506,1241624
최종병기 활,영화,"[18, 28, 36]",2011-08-10,7.193,296,5.4649,79224
무도실무관,영화,"[28, 35, 80, 18]",2024-09-12,7.684,378,6.4989,1139817
공동경비구역 JSA,영화,"[18, 53, 9648]",2000-09-09,7.828,867,6.337,2440
탈출: 프로젝트 사일런스,영화,"[53, 28, 27, 878, 12]",2024-07-11,6.854,418,6.3682,726139
은교,영화,"[18, 10749]",2012-04-25,6.748,103,5.4697,118451
해피 엔드,영화,"[18, 10749]",1999-12-11,6.6,78,5.3334,27154
브로커,영화,[18],2022-06-08,7.164,565,5.7547,736732
감기,영화,"[28, 878, 53]",2013-08-14,7.516,1293,6.2199,200085
굿뉴스,영화,"[53, 35, 36]",2025-09-05,6.882,93,5.4227,1296404
신세계,영화,"[53, 80, 18, 28]",2013-02-21,7.427,557,5.5588,165213
콜,영화,"[53, 9648, 878]",2020-11-23,7.47,1016,5.4742,575604
카터,영화,"[28, 53, 80]",2022-08-05,5.978,436,5.4828,800345
콘크리트 유토피아,영화,"[53, 28]",2023-08-09,6.871,315,5.2565,729854
드림,영화,"[35, 18]",2023-04-26,6.908,130,5.1334,636173
황해,영화,"[18, 53, 80]",2010-12-22,7.343,605,4.8653,57361
괴기맨숀,영화,"[27, 53]",2021-06-30,7.196,258,5.5697,842033
더 킬러: 죽어도 되는 아이,영화,"[28, 80, 53]",2022-07-13,7.637,433,5.1581,938008
노이즈,영화,"[27, 53]",2025-06-25,6.6,100,4.8505,1194963
명량,영화,"[10752, 28, 18, 36]",2014-07-30,6.99,337,4.8205,282631
상류사회,영화,[18],2018-08-29,5.508,60,4.8734,543753
하녀,영화,"[53, 18]",2010-05-13,6.339,391,4.6865,45202
헌트,영화,"[28, 9648, 18]",2022-08-10,6.8,217,5.3087,727340
빈집,영화,"[18, 10749, 80]",2004-10-15,7.822,1295,4.5526,1280
해적: 도깨비 깃발,영화,"[28, 12, 35, 14]",2022-01-26,6.535,228,5.14,591120
색즉시공 시즌 2,영화,"[10749, 35]",2007-12-12,5.6,71,4.8345,21647
극한직업,영화,"[28, 35, 80]",2019-01-23,7.17,364,4.691,567646
위쳐: 세이렌의 바다,영화,"[16, 14, 28]",2025-02-10,6.8,287,4.0209,1203329
해운대,영화,"[28, 18, 53]",2009-07-22,6.882,500,4.918,33196
동화지만 청불입니다,영화,"[35, 10749]",2025-01-08,7.4,22,4.713,1174128
킹덤: 아신전,영화,"[18, 14, 53]",2021-07-23,7.105,647,5.5314,845222
스마트폰을 떨어뜨렸을 뿐인데,영화,"[53, 80, 9648]",2023-02-17,7.288,416,4.3676,740441
알포인트,영화,"[28, 36, 27]",2004-08-13,6.6,189,4.4352,16138
공작,영화,"[18, 36, 53]",2018-08-08,7.341,223,4.8834,517991
모럴센스,영화,"[10749, 35]",2022-02-11,6.748,319,4.6289,760517
야당,영화,"[80, 28, 35, 18, 53]",2025-04-16,6.977,44,4.7467,1137179
길복순,영화,"[28, 18, 53, 80]",2023-02-18,6.902,564,5.1508,849869
모가디슈,영화,"[10752, 28, 53, 18, 36]",2021-07-28,7.1,213,5.231,607844
엽기적인 그녀,영화,"[18, 35, 10749]",2001-07-27,7.5,675,4.0015,11178
성난황소,영화,"[80, 28, 53, 35]",2018-11-22,7.475,216,4.6017,554972
시,영화,[18],2010-05-13,7.6,348,4.1874,47909
악녀,영화,"[28, 53]",2017-06-08,6.919,788,5.1851,437109
야차,영화,"[28, 80, 53]",2022-04-08,6.654,260,4.5237,606402
불한당: 나쁜 놈들의 세상,영화,"[28, 80, 9648]",2017-05-17,7.2,144,4.4231,451997
청설,영화,"[10749, 18]",2024-11-06,7.698,43,4.2726,1160981
BTS: 더 리턴,영화,"[99, 10402]",2026-03-27,8.5,49,4.0886,1628116
박쥐,영화,"[18, 27, 53]",2009-04-30,7.118,1115,4.8743,22536
워킹걸,영화,"[35, 10749]",2015-01-07,5.659,22,3.6895,318541
